filename,title,album,artist,genre,tracknumber,comment
061 AsSaff.mp3,061 AsSaff,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,061,AsSaff recitation by  Hani ArRifai
062 AlJumua.mp3,062 AlJumua,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,062,AlJumua recitation by  Hani ArRifai
063 AlMunafiqoon.mp3,063 AlMunafiqoon,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,063,AlMunafiqoon recitation by  Hani ArRifai
064 AtTaghabun.mp3,064 AtTaghabun,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,064,AtTaghabun recitation by  Hani ArRifai
065 AtTalaq.mp3,065 AtTalaq,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,065,AtTalaq recitation by  Hani ArRifai
066 AtTahrim.mp3,066 AtTahrim,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,066,AtTahrim recitation by  Hani ArRifai
067 AlMulk.mp3,067 AlMulk,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,067,AlMulk recitation by  Hani ArRifai
068 AlQalam.mp3,068 AlQalam,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,068,AlQalam recitation by  Hani ArRifai
069 AlHaaqqa.mp3,069 AlHaaqqa,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,069,AlHaaqqa recitation by  Hani ArRifai
070 AlMaarij.mp3,070 AlMaarij,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,070,AlMaarij recitation by  Hani ArRifai
071 Nooh.mp3,071 Nooh,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,071,Nooh recitation by  Hani ArRifai
072 AlJinn.mp3,072 AlJinn,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,072,AlJinn recitation by  Hani ArRifai
073 AlMuzzammil.mp3,073 AlMuzzammil,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,073,AlMuzzammil recitation by  Hani ArRifai
074 AlMuddaththir.mp3,074 AlMuddaththir,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,074,AlMuddaththir recitation by  Hani ArRifai
075 AlQiyama.mp3,075 AlQiyama,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,075,AlQiyama recitation by  Hani ArRifai
076 AlInsan.mp3,076 AlInsan,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,076,AlInsan recitation by  Hani ArRifai
077 AlMursalat.mp3,077 AlMursalat,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,077,AlMursalat recitation by  Hani ArRifai
078 AnNaba.mp3,078 AnNaba,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,078,AnNaba recitation by  Hani ArRifai
079 AnNaziat.mp3,079 AnNaziat,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,079,AnNaziat recitation by  Hani ArRifai
080 Abasa.mp3,080 Abasa,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,080,Abasa recitation by  Hani ArRifai
